SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
172.17.0.2,23.203.120.129,36598,443,2024-04-01 18:37:28,0.118633,63410,534505.576020163,0,0.0,16331665.411764706,4041.2455272805073,3730.0,1514.0,7306,1.6450373913494107,-0.8848757087041957,1.0834438410939695,0.0010788142683529,0.0328453081634644,0.044935,0.051263,0.0,-0.5779820942924482,1.3680797201343848,0.7309515558799243,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.248.249,172.17.0.2,443,48336,2024-04-01 18:37:29,0.191228,1491,7796.975338339573,0,0.0,25577.289999999997,159.92901550375402,149.1,66.0,66,1.5588165738076976,0.5196055246025658,1.0726292119634744,0.00440098532221,0.0663399225369611,0.0606133,0.029768,0.0,1.3948750083095722,0.9136775817944236,1.094477986464375,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,104.16.248.249,48336,443,2024-04-01 18:37:29,0.181014,4847,26776.934380766128,0,0.0,563930.2448979592,750.952891264132,692.4285714285714,74.0,66,2.470575366135925,0.8341782536772181,1.084520371126248,0.003275815668204,0.0572347417938098,0.0428977142857142,0.019208,0.0,1.2417133480425568,0.7495048102122102,1.3342142523633254,-1,-1,-1,,-1,,-0.0,1.0,DoH
96.17.52.124,172.17.0.2,443,50216,2024-04-01 18:37:29,0.381392,4772,12512.061081511936,0,0.0,4789.226014512228,69.20423407936994,78.22950819672131,66.0,66,0.5301485534553576,0.1767161844851192,0.8846308212157515,0.0046486113931319,0.0681807259651285,0.0865204426229508,0.077483,0.0,0.397653845497615,1.2689868199291725,0.7880302492470443,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,96.17.52.124,50216,443,2024-04-01 18:37:29,0.368702,294248,798064.5616242927,0,0.0,12422701.296094676,3524.5852658284034,4526.892307692307,2962.0,2962,1.331979954802854,0.443993318267618,0.7785882734252951,0.0031708781481836,0.0563105509490332,0.0722195692307692,0.06772,0.0,0.2397189774350705,1.282522866738336,0.7797131933742145,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.103.112,172.17.0.2,443,56916,2024-04-01 18:37:29,0.151978,3279,21575.491189514272,0,0.0,7517.521468144042,86.70364160832025,86.28947368421052,66.0,66,0.7020284260677525,0.2340094753559174,1.0047997502641568,0.0021353081655152,0.04620939477547,0.1170208947368421,0.136048,0.0,-1.2352751224470693,2.5324048346757824,0.3948815711876602,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.16.103.112,56916,443,2024-04-01 18:37:29,0.14194,277383,1954227.13822742,0,0.0,27930503.313609462,5284.9317227008205,7112.384615384615,5858.0,10202,0.7120534462138174,-0.5846083822321289,0.7430604513806974,0.0014350110429546,0.0378815396064446,0.1139123846153846,0.126662,0.0,-1.0096961884658724,3.007068503519986,0.3325497902124375,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
8.8.8.8,172.17.0.2,443,57708,2024-04-01 18:37:29,0.279428,1600,5725.98307972,0,0.0,21713.05555555555,147.35350540640542,133.33333333333334,66.0,66,1.3708530342924514,0.4569510114308172,1.1051512905480405,0.0080519138154722,0.0897324568674692,0.0846081666666666,0.045923,0.0,1.2933502998965996,0.9428936821782236,1.0605649596568008,-1,-1,-1,,-1,,-0.0,1.0,DoH
172.17.0.2,8.8.8.8,57708,443,2024-04-01 18:37:29,0.266787,6736,25248.606566286962,0,0.0,577482.6913580247,759.9228193428755,748.4444444444445,93.0,66,2.58754347584097,0.8980444159244638,1.0153363085044358,0.0055914533643209,0.0747760213191433,0.0634661111111111,0.032855,0.0,1.2281120566897974,0.8487495054094724,1.1782039266315192,-1,-1,-1,,-1,,-0.0,1.0,DoH
162.159.152.4,172.17.0.2,443,58164,2024-04-01 18:37:29,0.275965,1432,5189.063830558223,0,0.0,24204.36,155.57750480066196,143.2,66.0,66,1.4886470913435974,0.4962156971145324,1.0864350893900976,0.00974214236669,0.0987022915979664,0.0851631,0.03572,0.0,1.502794895625868,0.8628279913386997,1.1589795533272795,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
